687	536
509	393
209	1362
505	321
804	719
829	1476
349	941
241	783
683	1127
771	624
486	812
661	84
611	1068
831	228
582	899
141	1273
94	1336
276	1250
61	950
804	720
90	112
486	813
618	445
260	822
551	919
837	1740
590	1483
523	1219
720	936
852	513
156	1115
348	6
651	266
787	1159
748	308
532	265
29	695
660	736
719	842
641	833
678	1025
622	965
176	96
64	1470
92	50
877	561
270	1607
151	55
180	420
796	1667
878	429
689	650
515	546
344	861
801	359
856	9
251	703
178	568
740	405
835	1728
23	963
487	135
369	381
671	239
646	1691
748	307
575	601
557	940
226	120
384	370
584	250
885	612
317	628
801	360
572	21
799	1520
763	1007
860	1334
333	633
847	1079
481	566
567	1059
808	7
369	380
461	573
726	290
782	999
390	957
738	896
278	911
134	1570
279	1202
332	1235
793	1439
699	1546
730	0
386	1231
168	421
857	351
374	1670
238	1300
567	1058
725	779
298	538
446	256
441	1600
109	934
373	460
372	451
783	932
813	577
184	1373
868	1145
631	1356
628	47
645	494
633	902
579	1463
400	1317
647	1135
225	1075
48	1604
607	906
875	954
282	16
879	63
566	688
667	1594
411	959
779	662
237	41
650	155
699	1543
871	1633
831	226
70	522
147	434
779	661
66	1049
63	376
538	1182
336	585
637	1580
259	1745
250	51
827	1188
281	616
575	602
275	598
368	1498
68	788
777	1305
294	1701
423	309
837	1738
412	728
866	65
480	765
30	854
627	335
637	1578
862	587
231	554
734	764
84	991
380	1343
741	645
853	1173
499	1289
131	1113
527	134
845	107
716	947
416	298
855	1337
416	299
588	1628
328	142
570	1121
32	1523
637	1072
630	383
426	723
511	1054
522	970
161	244
140	128
310	1405
546	1676
170	332
44	847
155	347
815	1472
253	303
508	725
316	1479
56	509
660	737
209	1361
306	826
458	540
882	105
544	1409
653	1148
801	358
99	840
194	773
572	24
614	1528
481	565
308	997
576	1030
768	426
212	1715
292	716
680	1169
547	699
230	1527
791	1649
723	851
499	1290
562	805
597	898
411	960
221	1178
495	28
578	86
62	366
652	678
344	862
100	798
839	386
450	268
810	1291
699	1548
677	1639
748	640
619	94
849	1385
203	562
363	1162
853	1175
128	751
166	1461
792	1176
311	1146
680	1168
382	305
765	1325
807	1226
309	807
546	1675
620	1185
876	485
835	1731
525	749
463	926
170	333
828	71
190	1143
528	81
549	1216
788	1536
833	1034
65	1088
386	1230
183	979
49	271
235	181
679	814
426	722
740	403
276	1248
241	784
260	821
273	543
851	90
665	1142
528	80
810	1294
297	649
316	1478
113	146
637	1579
371	66
838	1598
568	681
656	356
589	797
191	126
140	127
820	707
173	508
447	976
283	1237
250	52
837	1739
513	769
362	1116
707	152
862	589
178	567
694	1512
641	832
265	1746
